t_rel_s,shm_used_mb,shm_sm_block_count,images_out_mb,pipelines
11.8,39752.43,5815,3700.24,1
11.8,39752.43,5815,3700.24,1
11.8,39752.43,5815,3700.24,1
11.8,39752.43,5815,3700.24,1
11.8,39752.43,5815,3700.24,1
11.8,39758.55,5816,3700.24,1
11.8,39769.63,5816,3700.24,1
11.8,39769.63,5816,3700.24,1
11.8,39778.7,5816,3700.24,1
11.8,39791.16,5816,3700.24,1
11.8,39802.9,5816,3700.24,1
11.8,39817.14,5816,3700.24,1
11.9,39832.96,5816,3700.24,1
11.9,39848.8,5816,3700.24,1
11.9,39849.63,5816,3700.24,1
11.9,39863.94,5816,3700.24,1
11.9,39880.62,5816,3700.24,1
11.9,39896.69,5816,3700.24,1
11.9,39912.69,5816,3700.24,1
11.9,39921.63,5816,3700.24,1
11.9,39921.63,5816,3700.24,1
11.9,39921.63,5816,3700.24,1
11.9,39921.63,5816,3700.24,1
11.9,39921.63,5817,3700.24,1
11.9,39922.93,5819,3700.24,1
11.9,39926.11,5821,3700.24,1
11.9,39927.62,5822,3700.24,1
11.9,39927.86,5823,3700.24,1
12.0,39927.86,5823,3700.24,1
12.0,39927.86,5823,3700.24,1
12.0,39927.86,5823,3700.24,1
12.0,39927.86,5823,3700.24,1
12.0,39855.86,5823,3700.24,1
12.0,39855.86,5823,3700.24,1
12.0,39775.86,5823,3700.24,1
12.0,39775.91,5824,3700.24,1
12.0,39775.92,5825,3700.24,1
12.0,39775.92,5825,3700.24,1
12.0,39775.92,5825,3700.24,1
12.0,39775.97,5826,3700.24,1
12.0,39775.97,5826,3700.24,1
12.0,39775.97,5826,3700.24,1
12.0,39775.97,5826,3700.24,1
12.0,39775.97,5826,3700.24,1
12.0,39775.97,5826,3700.24,1
12.0,39775.97,5826,3700.24,1
12.0,39775.97,5826,3700.24,1
12.0,39775.97,5826,3700.24,1
12.0,39775.97,5826,3700.24,1
12.0,39775.97,5826,3700.24,1
12.0,39775.97,5826,3700.24,1
12.1,39775.97,5826,3700.24,2
12.1,39775.97,5826,3700.24,2
12.1,39775.97,5826,3700.24,2
12.1,39775.97,5826,3700.24,2
12.1,39775.97,5826,3700.24,2
12.1,39779.64,5827,3700.24,2
12.1,39786.92,5827,3700.24,2
12.1,39793.04,5827,3700.24,2
12.1,39793.04,5827,3700.24,2
12.1,39793.04,5827,3700.24,2
12.1,39793.04,5827,3700.24,2
12.1,39793.04,5827,3700.24,2
12.1,39793.04,5827,3700.24,2
12.1,39793.04,5827,3700.24,2
12.1,39797.52,5828,3700.24,2
12.1,39807.25,5828,3700.24,2
12.1,39810.11,5828,3700.24,2
12.1,39810.11,5828,3700.24,2
12.1,39810.11,5828,3700.24,2
12.1,39810.11,5828,3700.24,2
12.1,39810.11,5828,3700.24,2
12.1,39810.11,5828,3700.24,2
12.2,39810.11,5828,3700.24,2
12.2,39810.11,5828,3700.24,2
12.2,39818.2,5829,3700.24,2
12.2,39840.86,5829,3700.24,2
12.2,39852.35,5829,3700.24,2
12.2,39857.42,5829,3700.24,2
12.2,39861.32,5829,3700.24,2
12.2,39861.32,5829,3700.24,2
12.2,39861.32,5829,3700.24,2
12.2,39861.32,5829,3700.24,2
